"符号","文件路径","行号","类别","快照日期"
"hd_dc_debug.disaster_scene.no_flood","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","102","中文键","2026-09-13"
"hd_dc_debug.disaster_scene.unconfirmed","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","106","中文键","2026-09-13"
"hd_dc_debug.epidemic.active_block","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","53","中文键","2026-09-13"
"hd_dc_debug.epidemic.apocalyptic","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","45","中文键","2026-09-13"
"hd_dc_debug.epidemic.bubonic_plague","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","37","中文键","2026-09-13"
"hd_dc_debug.epidemic.confirm","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","48","中文键","2026-09-13"
"hd_dc_debug.epidemic.confirm.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","49","中文键","2026-09-13"
"hd_dc_debug.epidemic.consumption","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","39","中文键","2026-09-13"
"hd_dc_debug.epidemic.create","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","50","中文键","2026-09-13"
"hd_dc_debug.epidemic.dlc_block","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","52","中文键","2026-09-13"
"hd_dc_debug.epidemic.dysentery","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","41","中文键","2026-09-13"
"hd_dc_debug.epidemic.ergotism","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","42","中文键","2026-09-13"
"hd_dc_debug.epidemic.historical_block","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","51","中文键","2026-09-13"
"hd_dc_debug.epidemic.intensity","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","46","中文键","2026-09-13"
"hd_dc_debug.epidemic.intensity.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","47","中文键","2026-09-13"
"hd_dc_debug.epidemic.major","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","44","中文键","2026-09-13"
"hd_dc_debug.epidemic.measles","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","40","中文键","2026-09-13"
"hd_dc_debug.epidemic.menu","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","34","中文键","2026-09-13"
"hd_dc_debug.epidemic.menu.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","35","中文键","2026-09-13"
"hd_dc_debug.epidemic.minor","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","43","中文键","2026-09-13"
"hd_dc_debug.epidemic.never_block","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","54","中文键","2026-09-13"
"hd_dc_debug.epidemic.once_block","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","55","中文键","2026-09-13"
"hd_dc_debug.epidemic.smallpox","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","36","中文键","2026-09-13"
"hd_dc_debug.epidemic.typhus","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","38","中文键","2026-09-13"
"hd_dc_debug.events","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","11","中文键","2026-09-13"
"hd_dc_debug.faction_scene","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","72","中文键","2026-09-13"
"hd_dc_debug.faction_scene.demand","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","81","中文键","2026-09-13"
"hd_dc_debug.faction_scene.demand_target","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","75","中文键","2026-09-13"
"hd_dc_debug.faction_scene.demand.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","82","中文键","2026-09-13"
"hd_dc_debug.faction_scene.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","73","中文键","2026-09-13"
"hd_dc_debug.faction_scene.independence","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","79","中文键","2026-09-13"
"hd_dc_debug.faction_scene.liberty","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","80","中文键","2026-09-13"
"hd_dc_debug.faction_scene.liege","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","74","中文键","2026-09-13"
"hd_dc_debug.faction_scene.no_demand","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","76","中文键","2026-09-13"
"hd_dc_debug.faction_scene.no_peasant","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","59","中文键","2026-09-13"
"hd_dc_debug.faction_scene.no_populist","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","58","中文键","2026-09-13"
"hd_dc_debug.faction_scene.not_ready","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","78","中文键","2026-09-13"
"hd_dc_debug.faction_scene.peasant","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","61","中文键","2026-09-13"
"hd_dc_debug.faction_scene.peasant_county","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","57","中文键","2026-09-13"
"hd_dc_debug.faction_scene.populist","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","60","中文键","2026-09-13"
"hd_dc_debug.faction_scene.populist_county","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","56","中文键","2026-09-13"
"hd_dc_debug.faction_scene.ready","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","77","中文键","2026-09-13"
"hd_dc_debug.fields.actor","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","108","中文键","2026-09-13"
"hd_dc_debug.fields.audit_first","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","113","中文键","2026-09-13"
"hd_dc_debug.fields.audit_second","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","114","中文键","2026-09-13"
"hd_dc_debug.fields.cooperation","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","122","中文键","2026-09-13"
"hd_dc_debug.fields.disaster","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","62","中文键","2026-09-13"
"hd_dc_debug.fields.disaster_county","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","63","中文键","2026-09-13"
"hd_dc_debug.fields.exchange","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","118","中文键","2026-09-13"
"hd_dc_debug.fields.from_signature","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","125","中文键","2026-09-13"
"hd_dc_debug.fields.help","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","120","中文键","2026-09-13"
"hd_dc_debug.fields.help_stress","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","121","中文键","2026-09-13"
"hd_dc_debug.fields.node","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","107","中文键","2026-09-13"
"hd_dc_debug.fields.par_choice","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","112","中文键","2026-09-13"
"hd_dc_debug.fields.pay_parties","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","123","中文键","2026-09-13"
"hd_dc_debug.fields.petitioner","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","119","中文键","2026-09-13"
"hd_dc_debug.fields.proposal","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","124","中文键","2026-09-13"
"hd_dc_debug.fields.protection_signature","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","111","中文键","2026-09-13"
"hd_dc_debug.fields.ransom","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","117","中文键","2026-09-13"
"hd_dc_debug.fields.roy_choice","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","109","中文键","2026-09-13"
"hd_dc_debug.fields.support","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","110","中文键","2026-09-13"
"hd_dc_debug.fields.to_signature","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","126","中文键","2026-09-13"
"hd_dc_debug.fields.trait","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","127","中文键","2026-09-13"
"hd_dc_debug.fields.trial_first","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","115","中文键","2026-09-13"
"hd_dc_debug.fields.trial_second","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","116","中文键","2026-09-13"
"hd_dc_debug.h","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","10","中文键","2026-09-13"
"hd_dc_debug.history_unavailable","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","149","中文键","2026-09-13"
"hd_dc_debug.impact_detail","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","227","中文键","2026-09-13"
"hd_dc_debug.impacts","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","170","中文键","2026-09-13"
"hd_dc_debug.impacts.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","226","中文键","2026-09-13"
"hd_dc_debug.latest","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","184","中文键","2026-09-13"
"hd_dc_debug.minus_1","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","27","中文键","2026-09-13"
"hd_dc_debug.minus_10","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","26","中文键","2026-09-13"
"hd_dc_debug.native_delta","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","141","中文键","2026-09-13"
"hd_dc_debug.native_delta.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","142","中文键","2026-09-13"
"hd_dc_debug.native_scene","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","2","中文键","2026-09-13"
"hd_dc_debug.native_scene.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","128","中文键","2026-09-13"
"hd_dc_debug.native_scene.drunkard","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","139","中文键","2026-09-13"
"hd_dc_debug.native_scene.drunkard.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","140","中文键","2026-09-13"
"hd_dc_debug.native_scene.legitimacy_gain","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","137","中文键","2026-09-13"
"hd_dc_debug.native_scene.legitimacy_loss","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","138","中文键","2026-09-13"
"hd_dc_debug.native_scene.no_drunkard","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","132","中文键","2026-09-13"
"hd_dc_debug.native_scene.no_legitimacy","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","131","中文键","2026-09-13"
"hd_dc_debug.native_scene.no_outbreak_county","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","144","中文键","2026-09-13"
"hd_dc_debug.native_scene.no_secret_target","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","130","中文键","2026-09-13"
"hd_dc_debug.native_scene.outbreak","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","145","中文键","2026-09-13"
"hd_dc_debug.native_scene.outbreak_county","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","143","中文键","2026-09-13"
"hd_dc_debug.native_scene.outbreak_created","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","147","中文键","2026-09-13"
"hd_dc_debug.native_scene.outbreak_unconfirmed","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","148","中文键","2026-09-13"
"hd_dc_debug.native_scene.outbreak.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","146","中文键","2026-09-13"
"hd_dc_debug.native_scene.secret","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","133","中文键","2026-09-13"
"hd_dc_debug.native_scene.secret_created","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","135","中文键","2026-09-13"
"hd_dc_debug.native_scene.secret_failed","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","136","中文键","2026-09-13"
"hd_dc_debug.native_scene.secret_target","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","129","中文键","2026-09-13"
"hd_dc_debug.native_scene.secret.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","134","中文键","2026-09-13"
"hd_dc_debug.neg01","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","228","中文键","2026-09-13"
"hd_dc_debug.neg01.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","248","中文键","2026-09-13"
"hd_dc_debug.neg02","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","229","中文键","2026-09-13"
"hd_dc_debug.neg02.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","249","中文键","2026-09-13"
"hd_dc_debug.neg03","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","230","中文键","2026-09-13"
"hd_dc_debug.neg03.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","250","中文键","2026-09-13"
"hd_dc_debug.neg04","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","231","中文键","2026-09-13"
"hd_dc_debug.neg04.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","251","中文键","2026-09-13"
"hd_dc_debug.neg05","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","232","中文键","2026-09-13"
"hd_dc_debug.neg05.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","252","中文键","2026-09-13"
"hd_dc_debug.neg06","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","233","中文键","2026-09-13"
"hd_dc_debug.neg06.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","253","中文键","2026-09-13"
"hd_dc_debug.neg07","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","234","中文键","2026-09-13"
"hd_dc_debug.neg07.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","254","中文键","2026-09-13"
"hd_dc_debug.neg08","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","235","中文键","2026-09-13"
"hd_dc_debug.neg08.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","255","中文键","2026-09-13"
"hd_dc_debug.neg09","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","236","中文键","2026-09-13"
"hd_dc_debug.neg09.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","256","中文键","2026-09-13"
"hd_dc_debug.neg10","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","237","中文键","2026-09-13"
"hd_dc_debug.neg10.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","257","中文键","2026-09-13"
"hd_dc_debug.neg11","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","238","中文键","2026-09-13"
"hd_dc_debug.neg11.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","258","中文键","2026-09-13"
"hd_dc_debug.neg12","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","239","中文键","2026-09-13"
"hd_dc_debug.neg12.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","259","中文键","2026-09-13"
"hd_dc_debug.neg13","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","240","中文键","2026-09-13"
"hd_dc_debug.neg13.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","260","中文键","2026-09-13"
"hd_dc_debug.neg14","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","241","中文键","2026-09-13"
"hd_dc_debug.neg14.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","261","中文键","2026-09-13"
"hd_dc_debug.neg15","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","242","中文键","2026-09-13"
"hd_dc_debug.neg15.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","262","中文键","2026-09-13"
"hd_dc_debug.neg16","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","243","中文键","2026-09-13"
"hd_dc_debug.neg16.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","263","中文键","2026-09-13"
"hd_dc_debug.neg17","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","244","中文键","2026-09-13"
"hd_dc_debug.neg17.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","264","中文键","2026-09-13"
"hd_dc_debug.neg18","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","245","中文键","2026-09-13"
"hd_dc_debug.neg18.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","265","中文键","2026-09-13"
"hd_dc_debug.neg19","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","246","中文键","2026-09-13"
"hd_dc_debug.neg19.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","266","中文键","2026-09-13"
"hd_dc_debug.neg20","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","247","中文键","2026-09-13"
"hd_dc_debug.neg20.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","270","中文键","2026-09-13"
"hd_dc_debug.next","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","225","中文键","2026-09-13"
"hd_dc_debug.older","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","183","中文键","2026-09-13"
"hd_dc_debug.ord09","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","37","中文键","2026-09-13"
"hd_dc_debug.ord09.tt","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","38","中文键","2026-09-13"
"hd_dc_debug.ord13","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","39","中文键","2026-09-13"
"hd_dc_debug.ord13.tt","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","40","中文键","2026-09-13"
"hd_dc_debug.ord19","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","41","中文键","2026-09-13"
"hd_dc_debug.ord19.tt","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","42","中文键","2026-09-13"
"hd_dc_debug.par01","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","154","中文键","2026-09-13"
"hd_dc_debug.par01.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","155","中文键","2026-09-13"
"hd_dc_debug.plus_1","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","28","中文键","2026-09-13"
"hd_dc_debug.plus_10","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","29","中文键","2026-09-13"
"hd_dc_debug.points.desc","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","25","中文键","2026-09-13"
"hd_dc_debug.prepare","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","12","中文键","2026-09-13"
"hd_dc_debug.prepare_ord09","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","160","中文键","2026-09-13"
"hd_dc_debug.prepare_ord09.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","161","中文键","2026-09-13"
"hd_dc_debug.prepare_ord13","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","162","中文键","2026-09-13"
"hd_dc_debug.prepare_ord13.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","167","中文键","2026-09-13"
"hd_dc_debug.prepare_ord19","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","14","中文键","2026-09-13"
"hd_dc_debug.prepare_ord19.tt","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","15","中文键","2026-09-13"
"hd_dc_debug.prepare_par","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","163","中文键","2026-09-13"
"hd_dc_debug.prepare_par.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","164","中文键","2026-09-13"
"hd_dc_debug.prepare_roy","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","156","中文键","2026-09-13"
"hd_dc_debug.prepare_roy.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","157","中文键","2026-09-13"
"hd_dc_debug.prepare_support","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","158","中文键","2026-09-13"
"hd_dc_debug.prepare_support.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","159","中文键","2026-09-13"
"hd_dc_debug.protection.actor","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","193","中文键","2026-09-13"
"hd_dc_debug.protection.execute","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","196","中文键","2026-09-13"
"hd_dc_debug.protection.illegal","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","199","中文键","2026-09-13"
"hd_dc_debug.protection.imprison","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","195","中文键","2026-09-13"
"hd_dc_debug.protection.legal","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","198","中文键","2026-09-13"
"hd_dc_debug.protection.revoke","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","197","中文键","2026-09-13"
"hd_dc_debug.protection.title","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","194","中文键","2026-09-13"
"hd_dc_debug.protection.unknown","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","200","中文键","2026-09-13"
"hd_dc_debug.protection.unknown_actor","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","201","中文键","2026-09-13"
"hd_dc_debug.receipt.audit_pending","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","192","中文键","2026-09-13"
"hd_dc_debug.receipt.closed","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","205","中文键","2026-09-13"
"hd_dc_debug.receipt.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","185","中文键","2026-09-13"
"hd_dc_debug.receipt.empty","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","186","中文键","2026-09-13"
"hd_dc_debug.receipt.instance","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","187","中文键","2026-09-13"
"hd_dc_debug.receipt.letters","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","204","中文键","2026-09-13"
"hd_dc_debug.receipt.pause","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","202","中文键","2026-09-13"
"hd_dc_debug.receipt.payment","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","188","中文键","2026-09-13"
"hd_dc_debug.receipt.points","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","207","中文键","2026-09-13"
"hd_dc_debug.receipt.protection","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","190","中文键","2026-09-13"
"hd_dc_debug.receipt.protection_wait","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","191","中文键","2026-09-13"
"hd_dc_debug.receipt.refund","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","189","中文键","2026-09-13"
"hd_dc_debug.receipt.subject","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","206","中文键","2026-09-13"
"hd_dc_debug.receipt.trial","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","203","中文键","2026-09-13"
"hd_dc_debug.refresh","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","20","中文键","2026-09-13"
"hd_dc_debug.refresh_stocks","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","271","中文键","2026-09-13"
"hd_dc_debug.refresh_stocks.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","272","中文键","2026-09-13"
"hd_dc_debug.refresh.tt","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","21","中文键","2026-09-13"
"hd_dc_debug.region","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","172","中文键","2026-09-13"
"hd_dc_debug.region.chaos","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","174","中文键","2026-09-13"
"hd_dc_debug.region.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","173","中文键","2026-09-13"
"hd_dc_debug.region.invalid","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","181","中文键","2026-09-13"
"hd_dc_debug.region.locked","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","175","中文键","2026-09-13"
"hd_dc_debug.region.no_affected_county","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","86","中文键","2026-09-13"
"hd_dc_debug.region.no_parties","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","85","中文键","2026-09-13"
"hd_dc_debug.region.no_roy_instance","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","87","中文键","2026-09-13"
"hd_dc_debug.region.no_royals","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","84","中文键","2026-09-13"
"hd_dc_debug.region.not_emperor","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","83","中文键","2026-09-13"
"hd_dc_debug.region.ordinary_wait","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","180","中文键","2026-09-13"
"hd_dc_debug.region.outside","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","88","中文键","2026-09-13"
"hd_dc_debug.region.par_cooldown","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","179","中文键","2026-09-13"
"hd_dc_debug.region.party_wait","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","177","中文键","2026-09-13"
"hd_dc_debug.region.prepared","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","176","中文键","2026-09-13"
"hd_dc_debug.region.roy_cooldown","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","178","中文键","2026-09-13"
"hd_dc_debug.relation_scene","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","64","中文键","2026-09-13"
"hd_dc_debug.relation_scene.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","65","中文键","2026-09-13"
"hd_dc_debug.relation_scene.family","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","66","中文键","2026-09-13"
"hd_dc_debug.relation_scene.family.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","67","中文键","2026-09-13"
"hd_dc_debug.relation_scene.no_family","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","68","中文键","2026-09-13"
"hd_dc_debug.relation_scene.no_rival","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","71","中文键","2026-09-13"
