完全空的家族(house) 共 1425 个:
  house_xin293 -> 宗族 xin293
  house_xin294 -> 宗族 xin47
  house_xin295 -> 宗族 baijia47
  house_xin296 -> 宗族 baijia47
  house_xin297 -> 宗族 xin297
  house_xin298 -> 宗族 xin47
  house_xin299 -> 宗族 xin299
  house_xin3 -> 宗族 xin507
  house_xin30 -> 宗族 xin390
  house_xin300 -> 宗族 xin299
  house_xin301 -> 宗族 baijia58
  house_xin302 -> 宗族 xin302
  house_xin303 -> 宗族 xin303
  house_xin304 -> 宗族 xin304
  house_xin305 -> 宗族 xin305
  house_xin306 -> 宗族 xin306
  house_xin307 -> 宗族 xin307
  house_xin308 -> 宗族 xin308
  house_xin309 -> 宗族 xin309
  house_xin31 -> 宗族 xin404
  house_xin310 -> 宗族 xin310
  house_xin311 -> 宗族 xin311
  house_xin312 -> 宗族 xin332
  house_xin313 -> 宗族 xin592
  house_xin314 -> 宗族 xin592
  house_xin315 -> 宗族 xin592
  house_xin316 -> 宗族 xin553
  house_xin317 -> 宗族 baijia32
  house_xin318 -> 宗族 xin710
  house_xin319 -> 宗族 baijia297
  house_xin32 -> 宗族 baijia297
  house_xin320 -> 宗族 baijia297
  house_xin321 -> 宗族 xin57
  house_xin322 -> 宗族 xin47
  house_xin323 -> 宗族 xin323
  house_xin324 -> 宗族 xin324
  house_xin325 -> 宗族 xin325
  house_xin326 -> 宗族 xin396
  house_xin327 -> 宗族 xin44
  house_xin33 -> 宗族 xin33
  house_xin332 -> 宗族 xin332
  house_xin335 -> 宗族 xin389
  house_xin336 -> 宗族 xin328
  house_xin337 -> 宗族 xin337
  house_xin338 -> 宗族 xin338
  house_xin339 -> 宗族 xin338
  house_xin34 -> 宗族 xin452
  house_xin340 -> 宗族 xin340
  house_xin341 -> 宗族 xin340
  house_xin342 -> 宗族 xin338
  house_xin343 -> 宗族 xin338
  house_xin344 -> 宗族 xin338
  house_xin345 -> 宗族 xin338
  house_xin346 -> 宗族 xin346
  house_xin347 -> 宗族 xin346
  house_xin348 -> 宗族 xin348
  house_xin349 -> 宗族 xin348
  house_xin35 -> 宗族 xin454
  house_xin350 -> 宗族 xin348
  house_xin351 -> 宗族 xin348
  house_xin352 -> 宗族 xin348
  house_xin353 -> 宗族 xin348
  house_xin354 -> 宗族 xin354
  house_xin355 -> 宗族 xin354
  house_xin356 -> 宗族 xin356
  house_xin357 -> 宗族 xin356
  house_xin358 -> 宗族 xin358
  house_xin359 -> 宗族 xin358
  house_xin36 -> 宗族 xin388
  house_xin360 -> 宗族 xin360
  house_xin361 -> 宗族 xin360
  house_xin362 -> 宗族 xin360
  house_xin363 -> 宗族 xin360
  house_xin364 -> 宗族 xin360
  house_xin365 -> 宗族 xin365
  house_xin366 -> 宗族 xin365
  house_xin367 -> 宗族 xin365
  house_xin368 -> 宗族 xin368
  house_xin369 -> 宗族 xin368
  house_xin37 -> 宗族 xin55
  house_xin370 -> 宗族 xin368
  house_xin371 -> 宗族 xin368
  house_xin372 -> 宗族 xin372
  house_xin373 -> 宗族 xin372
  house_xin374 -> 宗族 xin374
  house_xin375 -> 宗族 xin374
  house_xin376 -> 宗族 xin376
  house_xin377 -> 宗族 xin376
  house_xin378 -> 宗族 xin378
  house_xin379 -> 宗族 xin378
  house_xin38 -> 宗族 xin435
  house_xin380 -> 宗族 xin378
  house_xin381 -> 宗族 xin381
  house_xin382 -> 宗族 xin383
  house_xin383 -> 宗族 xin383
  house_xin384 -> 宗族 xin383
  house_xin385 -> 宗族 xin388
  house_xin386 -> 宗族 xin386
  house_xin387 -> 宗族 xin386
  house_xin388 -> 宗族 xin388
  house_xin389 -> 宗族 xin389
  house_xin39 -> 宗族 xin425
  house_xin390 -> 宗族 xin390
  house_xin391 -> 宗族 xin391
  house_xin392 -> 宗族 xin391
  house_xin393 -> 宗族 xin390
  house_xin394 -> 宗族 xin389
  house_xin395 -> 宗族 xin389
  house_xin396 -> 宗族 xin396
  house_xin397 -> 宗族 xin397
  house_xin398 -> 宗族 xin397
  house_xin399 -> 宗族 xin397
  house_xin4 -> 宗族 xin681
  house_xin40 -> 宗族 xin40
  house_xin400 -> 宗族 xin397
  house_xin401 -> 宗族 xin401
  house_xin402 -> 宗族 xin401
  house_xin403 -> 宗族 xin401
  house_xin404 -> 宗族 xin404
  house_xin405 -> 宗族 xin404
  house_xin406 -> 宗族 xin404
  house_xin407 -> 宗族 xin404
  house_xin408 -> 宗族 xin408
  house_xin409 -> 宗族 baijia47
  house_xin41 -> 宗族 xin526
  house_xin410 -> 宗族 xin410
  house_xin411 -> 宗族 xin410
  house_xin412 -> 宗族 xin408
  house_xin413 -> 宗族 xin331
  house_xin414 -> 宗族 xin414
  house_xin415 -> 宗族 xin414
  house_xin416 -> 宗族 baijia47
  house_xin417 -> 宗族 baijia47
  house_xin418 -> 宗族 xin418
  house_xin419 -> 宗族 xin418
  house_xin42 -> 宗族 xin708
  house_xin420 -> 宗族 xin420
  house_xin421 -> 宗族 xin420
  house_xin422 -> 宗族 xin420
  house_xin423 -> 宗族 xin423
  house_xin424 -> 宗族 xin423
  house_xin425 -> 宗族 xin425
  house_xin426 -> 宗族 xin425
  house_xin427 -> 宗族 xin55
  house_xin428 -> 宗族 xin428
  house_xin429 -> 宗族 xin428
  house_xin43 -> 宗族 xin724
  house_xin430 -> 宗族 xin428
  house_xin431 -> 宗族 xin428
  house_xin432 -> 宗族 xin432
  house_xin433 -> 宗族 xin432
  house_xin434 -> 宗族 xin432
  house_xin435 -> 宗族 xin435
  house_xin436 -> 宗族 xin435
  house_xin437 -> 宗族 xin437
  house_xin438 -> 宗族 xin437
  house_xin439 -> 宗族 xin439
  house_xin44 -> 宗族 xin44
  house_xin440 -> 宗族 xin439
  house_xin441 -> 宗族 xin439
  house_xin442 -> 宗族 xin442
  house_xin443 -> 宗族 xin443
  house_xin444 -> 宗族 xin443
  house_xin445 -> 宗族 xin445
  house_xin446 -> 宗族 xin445
  house_xin447 -> 宗族 xin445
  house_xin448 -> 宗族 xin448
  house_xin449 -> 宗族 xin448
  house_xin45 -> 宗族 xin44
  house_xin450 -> 宗族 xin448
  house_xin451 -> 宗族 xin33
  house_xin452 -> 宗族 xin452
  house_xin453 -> 宗族 xin452
  house_xin454 -> 宗族 xin454
  house_xin455 -> 宗族 xin455
  house_xin456 -> 宗族 xin456
  house_xin457 -> 宗族 xin456
  house_xin458 -> 宗族 xin458
  house_xin459 -> 宗族 xin459
  house_xin46 -> 宗族 xin44
  house_xin460 -> 宗族 xin459
  house_xin461 -> 宗族 xin459
  house_xin462 -> 宗族 xin462
  house_xin463 -> 宗族 xin458
  house_xin464 -> 宗族 xin464
  house_xin465 -> 宗族 xin464
  house_xin466 -> 宗族 xin464
  house_xin467 -> 宗族 xin330
  house_xin468 -> 宗族 xin468
  house_xin469 -> 宗族 xin468
  house_xin47 -> 宗族 baijia297
  house_xin470 -> 宗族 xin468
  house_xin471 -> 宗族 xin471
  house_xin472 -> 宗族 xin471
  house_xin473 -> 宗族 xin473
  house_xin474 -> 宗族 xin473
  house_xin475 -> 宗族 xin473
  house_xin476 -> 宗族 xin476
  house_xin477 -> 宗族 xin476
  house_xin478 -> 宗族 xin478
  house_xin479 -> 宗族 xin478
  house_xin48 -> 宗族 xin47
  house_xin480 -> 宗族 xin480
  house_xin481 -> 宗族 xin480
  house_xin482 -> 宗族 xin480
  house_xin483 -> 宗族 xin483
  house_xin484 -> 宗族 xin483
  house_xin485 -> 宗族 xin485
  house_xin486 -> 宗族 xin485
  house_xin487 -> 宗族 xin487
  house_xin488 -> 宗族 xin487
  house_xin489 -> 宗族 xin487
  house_xin49 -> 宗族 xin47
  house_xin490 -> 宗族 xin490
  house_xin491 -> 宗族 xin490
  house_xin492 -> 宗族 xin490
  house_xin493 -> 宗族 xin493
  house_xin494 -> 宗族 xin493
  house_xin495 -> 宗族 xin493
  house_xin496 -> 宗族 xin493
  house_xin497 -> 宗族 xin497
  house_xin498 -> 宗族 xin497
  house_xin499 -> 宗族 xin499
  house_xin5 -> 宗族 baijia297
  house_xin50 -> 宗族 xin480
  house_xin500 -> 宗族 xin499
  house_xin501 -> 宗族 xin499
  house_xin502 -> 宗族 xin499
  house_xin503 -> 宗族 xin503
  house_xin504 -> 宗族 xin503
  house_xin505 -> 宗族 xin505
  house_xin506 -> 宗族 xin505
  house_xin507 -> 宗族 xin507
  house_xin508 -> 宗族 xin508
  house_xin509 -> 宗族 xin509
  house_xin51 -> 宗族 xin51
  house_xin510 -> 宗族 xin509
  house_xin511 -> 宗族 xin508
  house_xin512 -> 宗族 xin509
  house_xin513 -> 宗族 xin509
  house_xin514 -> 宗族 xin514
  house_xin515 -> 宗族 xin514
  house_xin516 -> 宗族 xin514
  house_xin517 -> 宗族 xin40
  house_xin518 -> 宗族 xin518
  house_xin519 -> 宗族 xin518
  house_xin52 -> 宗族 baijia297
  house_xin520 -> 宗族 xin520
  house_xin521 -> 宗族 xin520
  house_xin522 -> 宗族 xin520
  house_xin523 -> 宗族 xin520
  house_xin524 -> 宗族 xin520
  house_xin525 -> 宗族 xin520
  house_xin526 -> 宗族 xin526
  house_xin527 -> 宗族 xin526
  house_xin528 -> 宗族 xin528
  house_xin529 -> 宗族 xin528
  house_xin53 -> 宗族 xin53
  house_xin530 -> 宗族 xin528
  house_xin531 -> 宗族 xin531
  house_xin532 -> 宗族 xin531
  house_xin533 -> 宗族 xin531
  house_xin534 -> 宗族 xin534
  house_xin535 -> 宗族 xin534
  house_xin536 -> 宗族 xin536
  house_xin537 -> 宗族 xin536
  house_xin538 -> 宗族 xin536
  house_xin539 -> 宗族 xin539
  house_xin54 -> 宗族 xin53
  house_xin540 -> 宗族 xin539
  house_xin541 -> 宗族 xin539
  house_xin542 -> 宗族 xin542
  house_xin543 -> 宗族 xin542
  house_xin544 -> 宗族 xin542
  house_xin545 -> 宗族 xin545
  house_xin546 -> 宗族 xin545
  house_xin547 -> 宗族 xin547
  house_xin548 -> 宗族 xin547
  house_xin549 -> 宗族 xin547
  house_xin55 -> 宗族 xin55
  house_xin550 -> 宗族 xin550
  house_xin551 -> 宗族 xin550
  house_xin552 -> 宗族 xin550
  house_xin553 -> 宗族 xin553
  house_xin554 -> 宗族 xin553
  house_xin555 -> 宗族 xin553
  house_xin556 -> 宗族 xin556
  house_xin557 -> 宗族 xin557
  house_xin558 -> 宗族 xin557
  house_xin559 -> 宗族 xin557
  house_xin56 -> 宗族 baijia297
  house_xin560 -> 宗族 xin560
  house_xin561 -> 宗族 xin560
  house_xin562 -> 宗族 xin560
  house_xin563 -> 宗族 xin563
  house_xin564 -> 宗族 xin563
  house_xin565 -> 宗族 xin565
  house_xin566 -> 宗族 xin566
  house_xin567 -> 宗族 xin566
  house_xin568 -> 宗族 xin566
  house_xin569 -> 宗族 xin569
  house_xin57 -> 宗族 xin57
  house_xin570 -> 宗族 xin569
  house_xin571 -> 宗族 xin571
  house_xin572 -> 宗族 xin572
  house_xin573 -> 宗族 xin572
  house_xin574 -> 宗族 xin574
  house_xin575 -> 宗族 xin574
  house_xin576 -> 宗族 xin576
  house_xin577 -> 宗族 xin576
  house_xin578 -> 宗族 xin576
  house_xin579 -> 宗族 xin579
  house_xin58 -> 宗族 xin17
  house_xin580 -> 宗族 xin579
  house_xin581 -> 宗族 xin579
  house_xin582 -> 宗族 xin582
  house_xin583 -> 宗族 xin582
  house_xin584 -> 宗族 xin584
  house_xin585 -> 宗族 xin584
  house_xin586 -> 宗族 xin584
  house_xin587 -> 宗族 xin587
  house_xin588 -> 宗族 xin587
  house_xin589 -> 宗族 xin589
  house_xin59 -> 宗族 xin603
  house_xin590 -> 宗族 xin589
  house_xin591 -> 宗族 xin589
  house_xin592 -> 宗族 xin592
  house_xin593 -> 宗族 xin592
  house_xin594 -> 宗族 xin592
  house_xin595 -> 宗族 xin592
  house_xin596 -> 宗族 xin592
  house_xin597 -> 宗族 xin597
  house_xin598 -> 宗族 xin597
  house_xin599 -> 宗族 xin57
  house_xin6 -> 宗族 baijia297
  house_xin60 -> 宗族 xin60
  house_xin600 -> 宗族 xin57
  house_xin601 -> 宗族 xin57
  house_xin602 -> 宗族 xin57
  house_xin603 -> 宗族 xin603
  house_xin604 -> 宗族 xin603
  house_xin605 -> 宗族 xin603
  house_xin606 -> 宗族 xin606
  house_xin607 -> 宗族 xin606
  house_xin608 -> 宗族 xin606
  house_xin609 -> 宗族 xin609
  house_xin61 -> 宗族 xin410
  house_xin610 -> 宗族 xin609
  house_xin611 -> 宗族 xin609
  house_xin612 -> 宗族 xin612
  house_xin613 -> 宗族 xin613
  house_xin614 -> 宗族 xin83
  house_xin615 -> 宗族 xin83
  house_xin616 -> 宗族 xin83
  house_xin617 -> 宗族 xin612
  house_xin618 -> 宗族 xin612
  house_xin619 -> 宗族 xin613
  house_xin62 -> 宗族 xin423
  house_xin620 -> 宗族 xin613
  house_xin621 -> 宗族 xin621
  house_xin622 -> 宗族 xin621
  house_xin623 -> 宗族 xin623
  house_xin624 -> 宗族 xin623
  house_xin625 -> 宗族 baijia297
  house_xin626 -> 宗族 xin626
  house_xin627 -> 宗族 xin626
  house_xin628 -> 宗族 xin626
  house_xin629 -> 宗族 xin629
  house_xin63 -> 宗族 xin378
  house_xin630 -> 宗族 xin629
  house_xin631 -> 宗族 xin631
  house_xin632 -> 宗族 xin631
  house_xin633 -> 宗族 xin631
  house_xin634 -> 宗族 xin634
  house_xin635 -> 宗族 xin634
  house_xin636 -> 宗族 xin634
  house_xin637 -> 宗族 xin637
  house_xin638 -> 宗族 xin637
  house_xin639 -> 宗族 xin637
  house_xin64 -> 宗族 xin378
  house_xin640 -> 宗族 xin640
  house_xin641 -> 宗族 xin640
  house_xin642 -> 宗族 xin640
  house_xin643 -> 宗族 xin640
  house_xin644 -> 宗族 xin644
  house_xin645 -> 宗族 xin645
  house_xin646 -> 宗族 xin645
  house_xin647 -> 宗族 xin647
  house_xin648 -> 宗族 xin648
  house_xin649 -> 宗族 xin648
  house_xin65 -> 宗族 baijia297
  house_xin650 -> 宗族 xin565
  house_xin651 -> 宗族 xin651
  house_xin652 -> 宗族 xin651
  house_xin653 -> 宗族 xin653
  house_xin654 -> 宗族 xin653
  house_xin655 -> 宗族 xin655
  house_xin656 -> 宗族 xin655
  house_xin657 -> 宗族 xin657
  house_xin658 -> 宗族 xin657
  house_xin659 -> 宗族 xin657
  house_xin66 -> 宗族 xin458
  house_xin660 -> 宗族 xin660
  house_xin661 -> 宗族 xin660
  house_xin662 -> 宗族 xin662
  house_xin663 -> 宗族 xin662
  house_xin664 -> 宗族 xin664
  house_xin665 -> 宗族 xin664
  house_xin666 -> 宗族 xin666
  house_xin667 -> 宗族 xin666
  house_xin668 -> 宗族 xin668
  house_xin669 -> 宗族 xin668
  house_xin67 -> 宗族 baijia297
  house_xin670 -> 宗族 xin670
  house_xin671 -> 宗族 xin670
  house_xin672 -> 宗族 xin672
  house_xin673 -> 宗族 xin673
  house_xin674 -> 宗族 xin673
  house_xin675 -> 宗族 xin675
  house_xin676 -> 宗族 xin675
  house_xin677 -> 宗族 xin675
  house_xin678 -> 宗族 xin678
  house_xin679 -> 宗族 xin678
  house_xin68 -> 宗族 xin401
  house_xin680 -> 宗族 xin678
  house_xin681 -> 宗族 xin681
  house_xin682 -> 宗族 xin681
  house_xin683 -> 宗族 baijia127
  house_xin684 -> 宗族 baijia127
  house_xin685 -> 宗族 xin685
  house_xin686 -> 宗族 xin685
  house_xin687 -> 宗族 xin687
  house_xin688 -> 宗族 xin687
  house_xin689 -> 宗族 xin689
  house_xin69 -> 宗族 xin442
  house_xin690 -> 宗族 xin689
  house_xin691 -> 宗族 xin691
  house_xin692 -> 宗族 xin691
  house_xin693 -> 宗族 xin691
  house_xin694 -> 宗族 xin569
  house_xin695 -> 宗族 xin52
  house_xin696 -> 宗族 xin52
  house_xin697 -> 宗族 xin697
  house_xin698 -> 宗族 xin697
  house_xin699 -> 宗族 xin697
  house_xin7 -> 宗族 baijia297
  house_xin70 -> 宗族 xin437
  house_xin700 -> 宗族 xin700
  house_xin701 -> 宗族 xin700
  house_xin702 -> 宗族 xin702
  house_xin703 -> 宗族 xin702
  house_xin704 -> 宗族 xin702
  house_xin705 -> 宗族 xin705
  house_xin706 -> 宗族 xin705
  house_xin707 -> 宗族 xin705
  house_xin708 -> 宗族 xin708
  house_xin709 -> 宗族 xin708
  house_xin71 -> 宗族 xin459
  house_xin710 -> 宗族 xin710
  house_xin711 -> 宗族 xin710
  house_xin712 -> 宗族 xin712
  house_xin713 -> 宗族 xin712
  house_xin714 -> 宗族 xin712
  house_xin715 -> 宗族 xin715
  house_xin716 -> 宗族 xin715
  house_xin717 -> 宗族 xin717
  house_xin718 -> 宗族 xin717
  house_xin719 -> 宗族 xin719
  house_xin72 -> 宗族 xin685
  house_xin720 -> 宗族 xin719
  house_xin721 -> 宗族 xin719
  house_xin722 -> 宗族 xin722
  house_xin723 -> 宗族 xin722
  house_xin724 -> 宗族 xin724
  house_xin725 -> 宗族 xin724
  house_xin726 -> 宗族 xin726
  house_xin727 -> 宗族 xin726
  house_xin728 -> 宗族 xin728
  house_xin729 -> 宗族 xin728
  house_xin73 -> 宗族 xin53
  house_xin730 -> 宗族 xin726
  house_xin731 -> 宗族 xin731
  house_xin732 -> 宗族 xin732
  house_xin733 -> 宗族 xin732
  house_xin734 -> 宗族 xin734
  house_xin735 -> 宗族 xin734
  house_xin736 -> 宗族 xin736
  house_xin737 -> 宗族 xin736
  house_xin738 -> 宗族 xin738
  house_xin739 -> 宗族 xin738
  house_xin74 -> 宗族 xin52
  house_xin740 -> 宗族 xin740
  house_xin741 -> 宗族 xin740
  house_xin742 -> 宗族 xin742
  house_xin743 -> 宗族 xin742
  house_xin744 -> 宗族 xin332
  house_xin745 -> 宗族 xin332
  house_xin746 -> 宗族 xin746
  house_xin747 -> 宗族 xin747
  house_xin748 -> 宗族 xin747
  house_xin749 -> 宗族 xin749
  house_xin75 -> 宗族 xin689
  house_xin750 -> 宗族 xin749
  house_xin751 -> 宗族 xin751
  house_xin752 -> 宗族 xin751
  house_xin753 -> 宗族 xin753
  house_xin754 -> 宗族 xin753
  house_xin755 -> 宗族 xin755
  house_xin756 -> 宗族 xin755
  house_xin757 -> 宗族 xin758
  house_xin758 -> 宗族 xin758
  house_xin759 -> 宗族 xin759
  house_xin76 -> 宗族 xin746
  house_xin760 -> 宗族 xin759
  house_xin761 -> 宗族 xin759
  house_xin762 -> 宗族 xin759
  house_xin763 -> 宗族 xin763
  house_xin764 -> 宗族 xin763
  house_xin765 -> 宗族 xin765
  house_xin766 -> 宗族 xin765
  house_xin767 -> 宗族 xin767
  house_xin768 -> 宗族 xin767
  house_xin769 -> 宗族 baijia226
  house_xin77 -> 宗族 xin810
  house_xin770 -> 宗族 baijia226
  house_xin771 -> 宗族 xin771
  house_xin772 -> 宗族 xin771
  house_xin773 -> 宗族 xin771
  house_xin774 -> 宗族 xin771
  house_xin775 -> 宗族 xin775
  house_xin776 -> 宗族 xin775
  house_xin777 -> 宗族 xin775
  house_xin778 -> 宗族 xin778
  house_xin779 -> 宗族 xin778
  house_xin78 -> 宗族 xin78
  house_xin780 -> 宗族 xin778
  house_xin781 -> 宗族 xin781
  house_xin782 -> 宗族 xin782
  house_xin783 -> 宗族 xin783
  house_xin784 -> 宗族 xin784
  house_xin785 -> 宗族 xin785
  house_xin786 -> 宗族 xin786
  house_xin787 -> 宗族 xin787
  house_xin788 -> 宗族 xin788
  house_xin789 -> 宗族 xin789
  house_xin79 -> 宗族 xin565
  house_xin790 -> 宗族 xin790
  house_xin791 -> 宗族 xin791
  house_xin792 -> 宗族 xin792
  house_xin793 -> 宗族 xin793
  house_xin794 -> 宗族 xin794
  house_xin795 -> 宗族 xin795
  house_xin796 -> 宗族 xin796
  house_xin797 -> 宗族 xin797
  house_xin798 -> 宗族 xin797
  house_xin799 -> 宗族 xin799
  house_xin8 -> 宗族 baijia297
  house_xin80 -> 宗族 xin536
  house_xin800 -> 宗族 xin799
  house_xin801 -> 宗族 xin801
  house_xin802 -> 宗族 xin801
  house_xin803 -> 宗族 xin803
  house_xin804 -> 宗族 xin804
  house_xin805 -> 宗族 xin805
  house_xin806 -> 宗族 xin806
  house_xin807 -> 宗族 xin807
  house_xin808 -> 宗族 xin807
  house_xin809 -> 宗族 xin809
  house_xin81 -> 宗族 xin546
  house_xin810 -> 宗族 xin810
  house_xin811 -> 宗族 xin811
  house_xin812 -> 宗族 xin812
  house_xin813 -> 宗族 xin813
  house_xin814 -> 宗族 xin813
  house_xin815 -> 宗族 xin815
  house_xin816 -> 宗族 xin816
  house_xin817 -> 宗族 xin817
  house_xin818 -> 宗族 xin817
  house_xin819 -> 宗族 xin819
  house_xin82 -> 宗族 xin550
  house_xin820 -> 宗族 xin820
  house_xin821 -> 宗族 xin820
  house_xin822 -> 宗族 xin822
  house_xin823 -> 宗族 xin823
  house_xin824 -> 宗族 xin822
  house_xin825 -> 宗族 xin823
  house_xin826 -> 宗族 xin826
  house_xin827 -> 宗族 xin826
  house_xin828 -> 宗族 xin828
  house_xin829 -> 宗族 xin828
  house_xin83 -> 宗族 xin83
  house_xin830 -> 宗族 xin830
  house_xin831 -> 宗族 xin830
  house_xin832 -> 宗族 xin830
  house_xin833 -> 宗族 xin833
  house_xin834 -> 宗族 xin834
  house_xin835 -> 宗族 xin834
  house_xin836 -> 宗族 xin836
  house_xin837 -> 宗族 xin836
  house_xin838 -> 宗族 xin838
  house_xin839 -> 宗族 xin839
  house_xin84 -> 宗族 xin83
  house_xin840 -> 宗族 xin840
  house_xin842 -> 宗族 xin840
  house_xin843 -> 宗族 xin843
  house_xin844 -> 宗族 xin843
  house_xin845 -> 宗族 xin51
  house_xin846 -> 宗族 xin51
  house_xin847 -> 宗族 xin51
  house_xin848 -> 宗族 xin51
  house_xin849 -> 宗族 xin849
  house_xin85 -> 宗族 xin612
  house_xin850 -> 宗族 xin849
  house_xin851 -> 宗族 xin849
  house_xin852 -> 宗族 xin852
  house_xin853 -> 宗族 xin852
  house_xin854 -> 宗族 xin854
  house_xin855 -> 宗族 xin854
  house_xin856 -> 宗族 xin856
  house_xin857 -> 宗族 xin857
  house_xin858 -> 宗族 xin854
  house_xin859 -> 宗族 xin854
  house_xin86 -> 宗族 xin613
  house_xin860 -> 宗族 xin860
  house_xin861 -> 宗族 xin861
  house_xin862 -> 宗族 xin862
  house_xin863 -> 宗族 xin863
  house_xin864 -> 宗族 xin872
  house_xin865 -> 宗族 xin872
  house_xin866 -> 宗族 xin871
  house_xin867 -> 宗族 xin871
  house_xin868 -> 宗族 xin868
  house_xin869 -> 宗族 xin868
  house_xin87 -> 宗族 baijia248
  house_xin870 -> 宗族 xin868
  house_xin871 -> 宗族 xin871
  house_xin872 -> 宗族 xin872
  house_xin873 -> 宗族 xin873
  house_xin874 -> 宗族 xin873
  house_xin875 -> 宗族 xin873
  house_xin876 -> 宗族 xin873
  house_xin877 -> 宗族 xin877
  house_xin878 -> 宗族 xin877
  house_xin879 -> 宗族 xin281
  house_xin88 -> 宗族 baijia248
  house_xin880 -> 宗族 xin281
  house_xin881 -> 宗族 xin281
  house_xin882 -> 宗族 xin882
  house_xin883 -> 宗族 xin883
  house_xin884 -> 宗族 xin884
  house_xin885 -> 宗族 xin885
  house_xin886 -> 宗族 xin886
  house_xin887 -> 宗族 xin887
  house_xin888 -> 宗族 xin888
  house_xin889 -> 宗族 xin889
  house_xin89 -> 宗族 baijia248
  house_xin890 -> 宗族 xin890
  house_xin891 -> 宗族 xin891
  house_xin892 -> 宗族 xin892
  house_xin893 -> 宗族 xin893
  house_xin894 -> 宗族 xin894
  house_xin895 -> 宗族 xin895
  house_xin896 -> 宗族 xin896
  house_xin897 -> 宗族 xin897
  house_xin898 -> 宗族 xin898
  house_xin899 -> 宗族 xin899
  house_xin9 -> 宗族 baijia297
  house_xin90 -> 宗族 xin47
  house_xin900 -> 宗族 xin900
  house_xin901 -> 宗族 xin901
  house_xin902 -> 宗族 xin902
  house_xin903 -> 宗族 xin903
  house_xin904 -> 宗族 xin904
  house_xin905 -> 宗族 xin905
  house_xin906 -> 宗族 xin906
  house_xin907 -> 宗族 xin907
  house_xin908 -> 宗族 xin908
  house_xin909 -> 宗族 xin909
  house_xin91 -> 宗族 baijia297
  house_xin910 -> 宗族 xin910
  house_xin911 -> 宗族 xin911
  house_xin912 -> 宗族 xin912
  house_xin913 -> 宗族 xin913
  house_xin914 -> 宗族 xin913
  house_xin915 -> 宗族 xin915
  house_xin916 -> 宗族 xin915
  house_xin917 -> 宗族 xin242
  house_xin918 -> 宗族 xin242
  house_xin919 -> 宗族 xin242
  house_xin92 -> 宗族 baijia297
  house_xin920 -> 宗族 xin920
  house_xin921 -> 宗族 xin920
  house_xin922 -> 宗族 xin920
  house_xin923 -> 宗族 xin923
  house_xin924 -> 宗族 xin923
  house_xin93 -> 宗族 baijia297
  house_xin94 -> 宗族 baijia297
  house_xin95 -> 宗族 baijia297
  house_xin96 -> 宗族 baijia297
  house_xin97 -> 宗族 baijia297
  house_xin98 -> 宗族 baijia297
  house_xin99 -> 宗族 baijia297
  uuii_book_house_4da8cbcd9186 -> 宗族 uuii_book_dyn_9abdb3f599ee
  uuii_book_house_51e4d4ade4f3 -> 宗族 uuii_book_dyn_cao_xiahou
  uuii_book_house_d867ee0b4caa -> 宗族 uuii_book_dyn_cdae1c314e2f

完全空的宗族(dynasty) 共 1433 个:
  100848
  1029001
  baijia1
  baijia10
  baijia100
  baijia101
  baijia102
  baijia103
  baijia104
  baijia105
  baijia106
  baijia107
  baijia108
  baijia109
  baijia11
  baijia110
  baijia111
  baijia112
  baijia113
  baijia114
  baijia115
  baijia116
  baijia117
  baijia118
  baijia119
  baijia12
  baijia120
  baijia121
  baijia122
  baijia123
  baijia124
  baijia125
  baijia126
  baijia127
  baijia128
  baijia129
  baijia13
  baijia130
  baijia131
  baijia132
  baijia133
  baijia134
  baijia135
  baijia136
  baijia137
  baijia138
  baijia139
  baijia14
  baijia140
  baijia141
  baijia142
  baijia143
  baijia144
  baijia145
  baijia146
  baijia147
  baijia148
  baijia149
  baijia15
  baijia150
  baijia151
  baijia152
  baijia153
  baijia154
  baijia155
  baijia156
  baijia157
  baijia158
  baijia159
  baijia16
  baijia160
  baijia161
  baijia162
  baijia163
  baijia164
  baijia165
  baijia166
  baijia167
  baijia168
  baijia169
  baijia17
  baijia170
  baijia171
  baijia172
  baijia173
  baijia174
  baijia175
  baijia176
  baijia177
  baijia178
  baijia179
  baijia18
  baijia180
  baijia181
  baijia182
  baijia183
  baijia184
  baijia185
  baijia186
  baijia187
  baijia188
  baijia189
  baijia19
  baijia190
  baijia191
  baijia192
  baijia193
  baijia194
  baijia195
  baijia196
  baijia197
  baijia198
  baijia199
  baijia2
  baijia20
  baijia200
  baijia201
  baijia202
  baijia203
  baijia204
  baijia205
  baijia206
  baijia207
  baijia208
  baijia209
  baijia21
  baijia210
  baijia211
  baijia212
  baijia213
  baijia214
  baijia215
  baijia216
  baijia217
  baijia218
  baijia219
  baijia22
  baijia220
  baijia221
  baijia222
  baijia223
  baijia224
  baijia225
  baijia226
  baijia227
  baijia228
  baijia229
  baijia23
  baijia230
  baijia231
  baijia232
  baijia233
  baijia234
  baijia235
  baijia236
  baijia237
  baijia238
  baijia239
  baijia24
  baijia240
  baijia241
  baijia242
  baijia243
  baijia244
  baijia245
  baijia246
  baijia247
  baijia248
  baijia249
  baijia25
  baijia250
  baijia251
  baijia252
  baijia253
  baijia254
  baijia255
  baijia256
  baijia257
  baijia258
  baijia259
  baijia26
  baijia260
  baijia261
  baijia262
  baijia263
  baijia264
  baijia265
  baijia266
  baijia267
  baijia268
  baijia269
  baijia27
